city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,city_seriousCount,updateTime
897,1076,36,26,0,2020-01-24
1408,2032,40,42,0,2020-01-25
2076,2692,49,56,0,2020-01-26
2857,5794,58,82,0,2020-01-27
4630,6973,73,106,0,2020-01-28
6095,9239,119,133,0,2020-01-29
8149,12167,135,171,0,2020-01-30
9811,15238,214,213,0,2020-01-31
11901,17988,275,259,0,2020-02-01
14490,19544,434,304,0,2020-02-02
17341,21558,527,361,2296,2020-02-03
20530,23214,718,426,2788,2020-02-04
24434,23260,1019,493,3219,2020-02-05
28138,24702,1373,564,3859,2020-02-06
31264,26359,1753,637,4821,2020-02-07
34673,27657,2375,724,6101,2020-02-08
37289,28942,2920,813,6188,2020-02-09
40262,28942,3551,909,6484,2020-02-10
42747,23589,4301,1017,7333,2020-02-11
44765,21675,5066,1116,8204,2020-02-12
59907,16067,6215,1368,8204,2020-02-13
63950,13435,7092,1489,10204,2020-02-14
66581,10109,8494,1524,11053,2020-02-15
68595,8228,9763,1667,11272,2020-02-16
70644,8228,11279,1773,11272,2020-02-17
72533,7264,13003,1872,11741,2020-02-18
74284,6242,14938,2009,11977,2020-02-19
74680,5248,16721,2122,11977,2020-02-20
75571,5206,18687,2239,11864,2020-02-21
76396,5365,21075,2348,11633,2020-02-22
77048,5365,23183,2445,11477,2020-02-23
77269,4148,25007,2596,10968,2020-02-24
77785,3434,27655,2666,9915,2020-02-25
78195,2824,30078,2718,9126,2020-02-26
78630,2491,32573,2747,8752,2020-02-27
